sample_name	amplicon_number	amplicon_decomposition_class	ecDNA+	BFB+	ecDNA_amplicons
BS_A9S5HT6P	amplicon1	No amp/Invalid	None detected	None detected	0
BS_XEVMEYFS	amplicon1	Cyclic	Positive	None detected	1
BS_XEVMEYFS	amplicon2	No amp/Invalid	None detected	None detected	0
BS_59FR1NC2	amplicon1	Linear	None detected	None detected	0
BS_GRECE8Q9	amplicon1	No amp/Invalid	None detected	None detected	0
BS_PMFR8NPN	amplicon1	Cyclic	Positive	None detected	1
BS_PMFR8NPN	amplicon2	Cyclic	Positive	None detected	1
BS_PMFR8NPN	amplicon3	Complex-non-cyclic	None detected	None detected	0
BS_KYPMZZSY	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_C2NH5FDT	amplicon1	Cyclic	Positive	None detected	1
BS_PPY0EWPG	amplicon1	Cyclic	Positive	None detected	1
BS_AFAHY6HP	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_AFAHY6HP	amplicon2	Linear	None detected	None detected	0
BS_AFAHY6HP	amplicon3	Linear	None detected	None detected	0
BS_0W8AWY10	amplicon1	Linear	None detected	None detected	0
BS_A3EV6FXK	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_B4P1NP87	amplicon1	Cyclic	Positive	None detected	1
BS_QMY84KF4	amplicon1	Cyclic	Positive	None detected	1
BS_6FYTRKJJ	amplicon1	Linear	None detected	None detected	0
BS_83MSWR59	amplicon1	Complex-non-cyclic	None detected	None detected	0
BS_MVC1NCZX	amplicon1	Linear	None detected	None detected	0
BS_XBE002WV	amplicon1	Linear	None detected	None detected	0
BS_9GJHMA3J	amplicon1	Linear	None detected	None detected	0
BS_9GJHMA3J	amplicon2	Cyclic	Positive	None detected	1
BS_9GJHMA3J	amplicon3	Linear	None detected	None detected	0
BS_Y3472DYJ	amplicon1	Linear	None detected	None detected	0
BS_9N3B3HZB	amplicon1	Linear	None detected	None detected	0
BS_KPWRDRFP	amplicon1	No amp/Invalid	None detected	None detected	0
BS_9M49SGAQ	amplicon1	Cyclic	Positive	None detected	1
