#sample	ecDNA_count
BS_K3F9WTAN	1
BS_3KD309X6	0
BS_AH252MTC	0
BS_FZ8D57HJ	0
BS_GH6PH611	0
BS_4FKXNJHW	1
BS_8GW9ZD0F	0
BS_BHK1E2GG	0
BS_A024WSJX	0
BS_9ANMMYJS	0
BS_MTYNW7BX	1
BS_ERDKHKT5	1
BS_DYA4EMPF	1
BS_4ZG27R47	1
BS_9HMAQJ93	1
BS_1KP6JADZ	0
BS_Z36ZZZ9N	1
BS_2F8PFTW5	0
BS_XB34VS6P	0
BS_W005KCS2	0
BS_YTTPJ4RX	0
BS_3Y55A2AQ	1
BS_E8Z367DQ	1
BS_F7VH8BQX	1
BS_MGFDE2ZH	1
BS_XKBT2G20	1
BS_Y9Q9RPNZ	1
BS_ZYP3XG56	1
BS_95EMTN3E	1
BS_AZD61W93	0
BS_7M145V8M	1
BS_VRDQTVHR	1
BS_B8TG51S6	2
BS_0GS82Q3E	5
BS_R8F3DR5F	2
BS_7YGM7F5R	0
BS_7BN22JGJ	0
BS_KEWYG829	2
BS_Y7PRDGED	2
BS_2F3NJJ7V	1
BS_N3FWKZB8	1
BS_GBSSZBMF	0
BS_X3KSK1AF	1
BS_7GF5144B	1
BS_NTCKT2C2	0
BS_2296JPP5	1
BS_KVC8X5BX	0
BS_53BCKC4V	5
BS_R1BYKPF1	0
BS_YC4RWPH3	1
BS_SPN3A4M0	0
BS_XQGE3TD3	0
BS_YJ9N6X9G	0
BS_EMAYQWCN	0
BS_PCMHH474	1
BS_XWYBVJ4R	2
BS_AHKEJ0E3	0
BS_7KN8003B	0
BS_KWHEFBG0	2
BS_3PATZ29V	1
BS_WMXKD55A	1
BS_V27ABVGT	0
BS_02VZJ0QK	0
BS_YRGD4MKR	1
BS_02NHQ9F8	0
BS_TYE6Q66H	1
BS_EQK3VTV0	1
BS_1DA3F1K1	1
BS_15BAPZBP	0
BS_YYJDGT6Y	1
BS_3JR05TXQ	0
BS_J7EY237P	1
BS_TZWCWMJJ	0
BS_1WC7MCRT	2
BS_54HHEWEZ	2
BS_AED5JAXC	0
BS_97M1BPNE	1
BS_9GAN1VK0	1
BS_1061K466	0
BS_9BJ4Z98D	1
BS_HTQ9CT6Q	0
BS_JHWHDEBK	0
BS_NQDVWQY7	0
BS_R88BSH78	0
BS_6VVG1EBR	1
BS_WFJAG7PD	1
BS_QSEKE2HK	0
BS_YACC792T	0
BS_S6XJN6XC	1
BS_4Y10FCTC	0
BS_DQ53BKED	1
BS_E4C16ZWG	0
BS_E1GFZBG3	0
BS_PS00F8DA	1
BS_TFYBVE0A	1
BS_XH4QH13B	1
BS_E1FCN4JK	2
BS_AM8HDWQZ	1
BS_KFZKF2P8	1
BS_2C9ZX1NK	4
BS_B1163H1W	5
BS_Z0BN60RK	1
BS_BP8A42GM	1
BS_F4CJJFW1	0
BS_K9VSRKD1	1
BS_VYDJK425	1
BS_W3DXWFMX	0
BS_GM3NRFRR	0
BS_A8XRT37Q	0
BS_GY8AVNHY	2
BS_MVQYCQMP	0
BS_551ZH7EV	1
BS_065QV76T	1
BS_4GMSE5BE	1
BS_7314XTPY	1
BS_3S1JTYA2	2
BS_S4CG60MW	1
BS_J90F99EV	1
BS_MEE1Y50H	0
BS_MD2R88X3	0
BS_B5V3KSQY	1
BS_VXAXJ87Y	1
BS_F26AAE9K	0
BS_4T994QT4	1
BS_9XQVJS03	1
BS_R06ABMXP	2
BS_12TRHKCY	0
BS_AVMVWGX0	1
BS_89RB2TC2	0
BS_ZW7VSY3Z	0
BS_9T43YEPA	0
BS_3AQ7V6ZQ	0
BS_5FS4BERE	0
BS_K9APGGRV	0
BS_YKB20Z8Y	0
BS_R8820GP1	1
BS_MZS6FZKF	1
BS_D1CNC603	0
BS_DPRBAXTR	2
BS_P3NDA9Z7	0
BS_X2VRDBVG	4
BS_9E2FF9ZP	1
BS_9Y9BQ8Y8	0
BS_5FPTB368	1
BS_091H6TKY	0
BS_43EZNGJ1	0
BS_B5S27A0B	0
BS_NE82PE7G	0
BS_00GG0R70	0
BS_2T4EJ6KN	1
BS_537YFJ06	1
BS_ANZMQ09Q	1
BS_BF2MCS03	1
BS_E3N4JN0X	3
BS_EJP43CD9	3
BS_M29BNE7Z	1
BS_GW7MKKP9	1
BS_HPVAR2P6	5
BS_PBP7633F	0
BS_QWCKETN7	1
BS_PA5M3880	1
BS_A9S5HT6P	0
BS_XEVMEYFS	1
BS_59FR1NC2	0
BS_GRECE8Q9	0
BS_PMFR8NPN	2
BS_KYPMZZSY	0
BS_C2NH5FDT	1
BS_PPY0EWPG	1
BS_AFAHY6HP	0
BS_0W8AWY10	0
BS_A3EV6FXK	0
BS_B4P1NP87	1
BS_QMY84KF4	1
BS_6FYTRKJJ	0
BS_83MSWR59	0
BS_MVC1NCZX	0
BS_XBE002WV	0
BS_9GJHMA3J	1
BS_Y3472DYJ	0
BS_9N3B3HZB	0
BS_KPWRDRFP	0
BS_9M49SGAQ	1
BS_GS9JCK55	0
BS_JM979K1M	0
BS_Z5VJCFNP	0
BS_B9QP40ER	1
BS_8Q8N6AHW	0
BS_EJV0N3BX	1
BS_3NX3RBCX	2
BS_3E5C1PN1	1
BS_QG6V29H7	1
BS_S0T3CQ97	1
BS_DJYDRZWZ	0
BS_KHSYAB3J	0
BS_JB3J82ZK	1
BS_X1DSETVE	1
BS_QQP17PDQ	1
BS_RXSBJ929	1
BS_S791VC80	1
BS_AFBPM6CN	0
BS_H0638GZT	0
BS_16JT2DCA	0
BS_R1G6SG0K	0
BS_79NQJZ09	0
BS_00TRPEQX	1
BS_1M63B97V	1
BS_BQWMQM2Y	0
BS_D368BNRD	0
BS_80078QDG	2
BS_EP25TTAG	4
BS_P4K6WK9Y	1
BS_P3PF53V8	0
BS_0TCRV9AC	3
BS_ABZ3BK38	3
BS_J4E9SW51	0
BS_KSHETTQC	0
BS_C19DFVR5	1
BS_GGY4Q2C9	1
BS_AYPBAHJ6	0
BS_JGKRN7NA	0
BS_XMP9XNR9	0
BS_FKQ7F6D1	1
BS_M4E4H6NG	1
BS_3BMGF6GN	1
BS_W2QCHQ7E	0
BS_TF5TTEXH	1
BS_WPCBK1EG	1
BS_J6VRW67C	0
BS_5R0HHQ1Y	0
BS_10AD3EFX	0
BS_ZKZACPVV	0
BS_0XD58YD9	0
BS_41TD9XET	0
BS_VPGCVSYB	0
BS_TZPJHKQR	0
BS_32JF8TPP	0
BS_XHAQXDR0	0
BS_RGSJMSRE	0
BS_KH0NFCWF	0
BS_05S9WJW6	0
BS_NMQTPVFW	0
BS_5KFAEMQJ	1
BS_TNQKJZCP	1
BS_1CZPVCXR	0
BS_F8KR1QWE	1
BS_3CG2N4PD	1
BS_BX8AR74E	1
BS_E1VJCEWB	1
BS_CKX0R5FN	2
BS_P99S85CY	1
BS_W3R2DQ86	0
BS_A4KYP5H0	1
BS_G4EX0H98	1
BS_N4B3WB8W	1
BS_KRYYDC2X	0
BS_3J4T2YYW	0
BS_ZV21J6YW	1
BS_2J4FG4HV	2
BS_5JC116NM	1
BS_W37QBA12	2
BS_10V9SAG8	1
BS_YETTZ1NC	2
BS_25VZM81R	1
BS_A70G7S2W	1
BS_WH8KWW5J	1
BS_4NPEMNAD	1
BS_F0GNWEJJ	0
BS_A1DV9T7G	2
BS_K07KNTFY	1
BS_69VS8PS1	1
BS_TE8QFF7T	1
BS_XJZQA3AP	1
BS_0ZR4XA69	0
BS_GWPJKM7G	2
BS_SQSH5G7A	0
BS_8SYN7GXG	1
BS_3Z40EZHD	0
BS_JRFVST47	1
BS_7GKF6M85	1
BS_FK3B5SDH	0
BS_AHAXPFG3	1
BS_HEJ72V3F	0
BS_4DQAQFQH	0
BS_TQ0J7WJQ	0
BS_B19AWBBW	0
BS_JD05XR6E	1
BS_CBMAWSAR	0
BS_ZSH09N84	0
BS_RWJ0571Q	4
BS_682Z7WH6	0
BS_AF5D41PD	1
BS_HYKV2TH9	3
BS_NNFDFAFM	0
BS_JEZBA2EW	0
SJACT001_D	1
SJACT005_D	1
SJACT030812_D1	0
SJACT069_D	2
SJBT030078_D1	0
SJBT030809_D1	1
SJHGG002_D	1
SJHGG004_D	0
SJHGG010_D	0
SJHGG011_D	2
SJHGG019_E	1
SJHGG019_S	1
SJHGG022_D	0
SJHGG030230_D1	1
SJHGG030230_R1	1
SJHGG044_D	1
SJHM030102_D1	0
SJLGG040_D	1
SJMEL030508_D1	0
SJMEL030604_D1	0
SJNBL001_D	0
SJNBL004_D	1
SJNBL007_D	0
SJNBL008_D	1
SJNBL010_D	1
SJNBL012_D	1
SJNBL013_D	0
SJNBL014_D	1
SJNBL015_D	0
SJNBL016_D	1
SJNBL017_D	1
SJNBL019_D	1
SJNBL021_D	1
SJNBL023_D	1
SJNBL027_D	1
SJNBL030096_D1	1
SJNBL030107_D1	1
SJNBL030177_D1	1
SJNBL030820_D1	1
SJNBL030_D	1
SJNBL031239_D1	1
SJNBL033_D	1
SJNBL037_D	0
SJNBL044_D	1
SJNBL046_D	0
SJNBL101_D	1
SJNBL105_D	0
SJNBL117_D	1
SJNBL124_D	1
SJNBL186_R	1
SJNBL187_R	1
SJNBL189_R	1
SJNBL191_R	1
SJNBL192_R	1
SJNBL193_R	0
SJNBL194_R	1
SJNBL195_R	1
SJNBL196_R	1
SJNBL197_R	1
SJNBL198_R	1
SJOS001101_M8	2
SJOS001103_D1	0
SJOS001104_M1	1
SJOS001105_D1	2
SJOS001106_D1	0
SJOS001107_M1	0
SJOS001108_M1	1
SJOS001109_D1	9
SJOS001110_D1	1
SJOS001111_M1	4
SJOS001115_D1	2
SJOS001117_D1	0
SJOS001119_D1	0
SJOS001120_D1	1
SJOS001124_D1	0
SJOS001125_D1	0
SJOS001126_D1	1
SJOS001128_D1	1
SJOS002_D	1
SJOS003_D	1
SJOS004_D	5
SJOS005_D	0
SJOS006_D	2
SJOS008_D	0
SJOS010_M	0
SJOS011_D	0
SJOS014_D	2
SJOS015_D	1
SJOS016_D	1
SJOS019_D	2
SJOS030101_D1	1
SJOS030129_D1	0
SJOS030272_D1	3
SJOS030279_D1	0
SJOS030422_D1	1
SJOS030597_D1	0
SJOS030605_D1	2
SJOS030645_D1	2
SJOS031071_D1	0
SJOS031125_D1	1
SJOS031130_D1	4
SJRB001_D	1
SJRB011_D	1
SJRB030065_D1	1
SJRB030188_D1	1
SJRB030199_D1	1
SJRB039_D	3
SJRHB001_D	1
SJRHB003_D	1
SJRHB004_D	2
SJRHB006_D	1
SJRHB008_D	1
SJRHB009_D	1
SJRHB012_S	2
SJRHB030264_D1	0
SJRHB030549_D1	3
SJRHB030787_D1	1
SJRHB031084_D1	4
SJRHB031117_D1	1
SJRHB031210_D1	2
SJRHB031244_D2	1
SJST030043_D2	3
SJST030131_D3	2
SJST030483_D1	0
SJST030529_D1	3
SJST030705_D1	0
SJST030730_D1	1
SJST031189_D1	0
SJACT062_D	1
SJBALL031914_D2	0
SJBALL031914_D3	0
SJBT030826_D2	0
SJBT031392_D1	0
SJBT031447_D1	0
SJBT031450_D2	0
SJBT031605_D1	0
SJBT032180_D1	1
SJBT032844_D1	0
SJBT033249_D1	0
SJEPD027_D	0
SJEPD030060_D1	0
SJEPD030250_D1	0
SJEPD030784_D1	0
SJEPD031010_D1	1
SJEPD031786_D2	0
SJEPD039_D	0
SJHGG003_A	1
SJHGG006_A	0
SJHGG007_A	0
SJHGG009_A	0
SJHGG013322_A1	0
SJHGG030020_D1	1
SJHGG030703_D1	0
SJHGG030803_D2	1
SJHGG031184_D2	0
SJHGG031190_D1	0
SJHGG031274_D1	0
SJHGG031282_D1	1
SJHGG031321_D1	0
SJHGG031322_D1	0
SJHGG031396_D1	0
SJHGG031590_D1	0
SJHGG031600_D2	2
SJHGG031891_D1	0
SJHGG031966_D1	1
SJHGG032168_D1	1
SJHGG032206_D1	0
SJHGG032466_D1	0
SJHGG032492_D1	2
SJHGG032625_D1	2
SJHGG032740_D1	0
SJHGG032887_D2	0
SJHGG052_A	3
SJHGG059115_D1	0
SJHGG059_A	0
SJHGG075_A	1
SJLGG030182_D1	0
SJLGG031460_D1	0
SJMB030910_D2	1
SJMB031418_D2	1
SJMB031439_D1	2
SJMB031453_D1	0
SJMB031476_D2	0
SJMB031476_D3	0
SJMB031813_D1	1
SJMB031853_D1	2
SJMB032002_D1	1
SJMB032351_D2	1
SJMB032425_D1	1
SJMB032578_D1	0
SJMB032603_D1	1
SJMEL030083_R2	0
SJMEL031086_D3	2
SJNBL030810_D2	2
SJNBL031668_D1	1
SJNBL031668_D2	1
SJNBL031802_D2	1
SJNBL032008_D1	0
